generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
11,286,0.16212662576622391,10.22347342967987,"[-0.9917902316648717, -0.5091592179901363, 0.1708624225356678, -0.2003821411247657, -0.0453797202752351, 0.11830062642761402, 0.9957760511660962, -0.21832752175874734, -0.5598328116965049, 0.984335361356792, -0.17200315339330466, -0.2725058260298274, -0.05087368212143435, 0.9372166690969465, 0.4579110040524397, 0.2439043231017945, -0.4932689898389333, -0.12467174294766412, -0.02007467979228001, -0.16737626161612074, 0.9718547251656972]","[-1.0627549335790836, -0.4803024915531547, 0.5156861064036186, -0.07983971509213919, 0.005063455537691726, 0.11462199129769211, 1.1610182290019193, -0.1408743864284214, -0.2374906421273397, 1.08317912424939, -0.235574298240642, -0.23845066420069125, -0.07247570968426105, 1.126643457449246, 0.3373902624524516, 0.17010186459675705, -0.5177512669306558, -0.06721065192983823, 0.004693462908744282, -0.07108483682473468, 0.9955829602568018]",11.309175074100494,"[-0.8721041218667371, -0.40593197205605125, 0.4212628625340071, -0.07610938763872546, -0.16819232095201414, 0.27453788016209923, 0.9920237341326769, -0.47122314000099585, -0.27014578765296837, 0.9941780098630594, -0.20935145045014888, -0.17299389719296013, 0.01814925622744533, 0.9833530385366492, 0.3818951238842618, 0.187315142711903, -0.4382192930001055, -0.14195003663519218, 0.07419047736966095, -0.17830725422097662, 0.8478374322075588]",11.309175074100494,58.66347991732451,51.92514522535661
12,312,0.1621060312041368,10.079917013645172,"[-0.9966927150465263, -0.28739320799571305, 0.28349832852323686, -0.03592120113003221, -0.08242605944688008, 0.021587708630260438, 0.8905802175693468, -0.2949976777222162, -0.4086042583201509, 0.8380298755719304, -0.41238733366418157, -0.18092905274225538, 0.12479530639980298, 0.9120779936972011, 0.48199622432917977, 0.13285961968773882, -0.53032166649483, -0.054453012306388715, -0.016622996815679005, -0.15654020308524502, 0.9941809508276537]","[-1.0587345742934775, -0.4469379916933003, 0.4723632498033112, -0.052134005923881656, 0.023118872112110188, 0.18787499584587405, 1.1200339694960466, -0.11216478506138541, -0.28949468593872485, 0.9885156204921098, -0.3283395962500246, -0.19927308459835777, 0.024587334666694424, 1.1435738796935073, 0.36393403414606207, 0.1167347191074914, -0.440277700175343, -0.04201272549060705, -0.08949137829996487, -0.11513500511574368, 0.9576000368477]",10.079917013645172,"[-0.9966927150465263, -0.28739320799571305, 0.28349832852323686, -0.03592120113003221, -0.08242605944688008, 0.021587708630260438, 0.8905802175693468, -0.2949976777222162, -0.4086042583201509, 0.8380298755719304, -0.41238733366418157, -0.18092905274225538, 0.12479530639980298, 0.9120779936972011, 0.48199622432917977, 0.13285961968773882, -0.53032166649483, -0.054453012306388715, -0.016622996815679005, -0.15654020308524502, 0.9941809508276537]",10.079917013645172,65.56041351648477,67.93204523643114
13,338,0.16053145210659006,10.079917013645172,"[-0.9966927150465263, -0.28739320799571305, 0.28349832852323686, -0.03592120113003221, -0.08242605944688008, 0.021587708630260438, 0.8905802175693468, -0.2949976777222162, -0.4086042583201509, 0.8380298755719304, -0.41238733366418157, -0.18092905274225538, 0.12479530639980298, 0.9120779936972011, 0.48199622432917977, 0.13285961968773882, -0.53032166649483, -0.054453012306388715, -0.016622996815679005, -0.15654020308524502, 0.9941809508276537]","[-1.0476614034555567, -0.35786119237569125, 0.4084639463748475, -0.05666111737628797, 0.03605815729503162, 0.1898118362531625, 1.1833283206276177, -0.14427251966688, -0.31560038788352873, 0.9149913514338414, -0.310593759493815, -0.17087178097436662, 0.06801804939874904, 1.221714451512166, 0.3512110361481014, 0.07654367795734794, -0.3475209862562326, 0.04034178506054863, -0.12172279784659744, -0.01748787678735917, 0.9496833571622355]",10.969016313552856,"[-0.9913473680456174, -0.6122863036594242, 0.28717943509543675, -0.2157333073666819, 0.016559008638607643, 0.21700915283567587, 0.774513481902639, 0.01433306145702451, -0.30088944333944734, 0.83385019348066, -0.4445705454829921, 0.17746408457824656, 0.056565212793407066, 0.9547407981976964, 0.308752058603741, -0.03372808799858708, -0.3999165458314848, 0.1454530856148422, -0.19894699195687124, -0.02214164346975589, 0.8124014457219833]",10.969016313552856,53.43958038550157,66.69908615674046
14,364,0.15287967738087557,10.079917013645172,"[-0.9966927150465263, -0.28739320799571305, 0.28349832852323686, -0.03592120113003221, -0.08242605944688008, 0.021587708630260438, 0.8905802175693468, -0.2949976777222162, -0.4086042583201509, 0.8380298755719304, -0.41238733366418157, -0.18092905274225538, 0.12479530639980298, 0.9120779936972011, 0.48199622432917977, 0.13285961968773882, -0.53032166649483, -0.054453012306388715, -0.016622996815679005, -0.15654020308524502, 0.9941809508276537]","[-0.9670975579099315, -0.33217811503990735, 0.41827416383916466, -0.04677150385273087, 0.024487405996893443, 0.26752673760385676, 1.2179413991487775, -0.118146899434457, -0.27777318008838137, 0.8993003608966189, -0.24617992544030903, -0.22779433342337724, 0.0757225431102295, 1.2190514244352821, 0.37655104558482533, 0.10060256576039296, -0.3198750026932961, -0.007167460472278251, -0.057494494344027064, 0.0029978568855203447, 0.98516356861169]",11.91115665435791,"[-0.9302436335111031, -0.5480438410706179, 0.35735804440081764, 0.038112562723561644, 0.049245058145761855, 0.3290154199685479, 0.6204830073258502, -0.11709666146207691, -0.1727590041403943, 0.8337876189970602, -0.11038821798330922, 0.07817615479290035, -0.11343012974388668, 0.755998417538016, 0.41557852744662394, 0.2368981772207499, -0.1715669671637906, -0.012845372900325475, 0.0044035219329117, 0.01596419170232482, 0.9968141924100712]",11.91115665435791,42.19478571644196,43.51850624609883
15,390,0.14662384711912613,10.079917013645172,"[-0.9966927150465263, -0.28739320799571305, 0.28349832852323686, -0.03592120113003221, -0.08242605944688008, 0.021587708630260438, 0.8905802175693468, -0.2949976777222162, -0.4086042583201509, 0.8380298755719304, -0.41238733366418157, -0.18092905274225538, 0.12479530639980298, 0.9120779936972011, 0.48199622432917977, 0.13285961968773882, -0.53032166649483, -0.054453012306388715, -0.016622996815679005, -0.15654020308524502, 0.9941809508276537]","[-1.041868144413107, -0.28722231713154045, 0.46872078738177914, -0.06818169505773018, 0.06440169154051849, 0.235914413023288, 1.2455027470608182, -0.14142468467167993, -0.3395056300375508, 0.8583774094978633, -0.2622315964769935, -0.15077277663572028, 0.030370395528245088, 1.1901939513047695, 0.43132173013564334, 0.040835584303012304, -0.2984891704090962, 0.0794851300204878, -0.01758341954814059, -0.02914597580123315, 1.0112651409260391]",11.051223397254944,"[-0.9951311013479872, 0.027626879489141887, 0.4126415923398558, 0.08482213881089856, 0.0058237454813626945, 0.2604455660115837, 0.8894312399707837, -0.2230276320771455, -0.37780757150035327, 0.7905107539585845, -0.24228804728886308, -0.19622681450852134, 0.1977310642886414, 0.889730347372956, 0.5652967124949237, 0.12980772386381503, -0.44100389649687033, 0.10104323873169353, -0.0072497488743965555, 0.07492522107060638, 0.8684087542255153]",11.051223397254944,36.19497298735838,38.5688947259026
16,416,0.1447676609610444,10.079917013645172,"[-0.9966927150465263, -0.28739320799571305, 0.28349832852323686, -0.03592120113003221, -0.08242605944688008, 0.021587708630260438, 0.8905802175693468, -0.2949976777222162, -0.4086042583201509, 0.8380298755719304, -0.41238733366418157, -0.18092905274225538, 0.12479530639980298, 0.9120779936972011, 0.48199622432917977, 0.13285961968773882, -0.53032166649483, -0.054453012306388715, -0.016622996815679005, -0.15654020308524502, 0.9941809508276537]","[-1.045282238229565, -0.2586035265512209, 0.34241779090521907, -0.06835723074399051, -0.005375182692785406, 0.2905608267480286, 1.2898657660710031, -0.16808251016204218, -0.4314965354961206, 0.8189167678329363, -0.31405661173440136, -0.10440255554492849, 0.0647753670841984, 1.1737549777765792, 0.42779149157753, 0.01465087575769706, -0.40219058812073516, 0.08142726481137223, 0.010765754457991382, -0.042744105956061984, 1.0256190895906736]",10.384671330451965,"[-0.9951673560514466, -0.1612317712956952, 0.21921647945115255, -0.1879511224120401, -0.14751506159912592, 0.23914659340276087, 0.6864457619900862, -0.32825274641177093, -0.5408750776165346, 0.6392485789288483, -0.48316960292425565, 0.02362527239579451, 0.07973486348099644, 0.9993509605351679, 0.44201423233149506, 0.029891980696145314, -0.5529714775389676, 0.05880628739871874, 0.03538446759994962, -0.07530407295556363, 0.9995037821231174]",10.384671330451965,18.85889292221803,14.01544418366181
17,442,0.14724922490635972,9.70343816280365,"[-0.8721673195235935, -0.34255366108625307, 0.38568964140169965, 0.02385000326665372, -0.21951470834536202, 0.20664439700234694, 0.8750252187289621, -0.2705832007673712, -0.53115513267818, 0.8734063062002978, -0.48349126630214095, -0.03962950968821183, 0.044208675380362814, 0.9851237513318585, 0.41013044296644724, -0.16021384031922187, -0.5916926990309337, 0.22459698310332232, -0.05167895192088699, -0.030461975801487906, 0.9994854904192128]","[-1.0724968943771744, -0.23825723657416556, 0.41073746041369, -0.0886547961000598, -0.08279317757489112, 0.32992376580914473, 1.2028467456965748, -0.17141441019700254, -0.4832751402390616, 0.8534857587844837, -0.37205971132866733, -0.08779155000538576, 0.04881668590828262, 1.1190436076971257, 0.47927550220848236, -0.04652637715868245, -0.5075954824244202, 0.06826179253651851, -0.00477699200236344, 0.0022493252556726475, 0.9503610736688529]",9.70343816280365,"[-0.8721673195235935, -0.34255366108625307, 0.38568964140169965, 0.02385000326665372, -0.21951470834536202, 0.20664439700234694, 0.8750252187289621, -0.2705832007673712, -0.53115513267818, 0.8734063062002978, -0.48349126630214095, -0.03962950968821183, 0.044208675380362814, 0.9851237513318585, 0.41013044296644724, -0.16021384031922187, -0.5916926990309337, 0.22459698310332232, -0.05167895192088699, -0.030461975801487906, 0.9994854904192128]",9.70343816280365,29.106032729148865,21.66908146956082
18,468,0.14834147137876846,9.70343816280365,"[-0.8721673195235935, -0.34255366108625307, 0.38568964140169965, 0.02385000326665372, -0.21951470834536202, 0.20664439700234694, 0.8750252187289621, -0.2705832007673712, -0.53115513267818, 0.8734063062002978, -0.48349126630214095, -0.03962950968821183, 0.044208675380362814, 0.9851237513318585, 0.41013044296644724, -0.16021384031922187, -0.5916926990309337, 0.22459698310332232, -0.05167895192088699, -0.030461975801487906, 0.9994854904192128]","[-0.9372021756696514, -0.22271584803797037, 0.3138156310254359, -0.1783119597410658, -0.1810290827135268, 0.2273067291521785, 1.1902732976596317, -0.2163252533923841, -0.47995285943153043, 0.8828679350006914, -0.30832905021620866, -0.03485577498244664, 0.030467034195114158, 1.0513722172958688, 0.4816729407860919, 0.007620188217175883, -0.4925470649564843, 0.11124315375970013, -0.022720374376725264, -0.0559524355002038, 1.0274153550959058]",10.073928415775299,"[-0.9130591049622537, -0.2183510169593549, 0.42264453081061487, -0.19673556021278893, -0.2105898946267633, 0.11296533899602049, 0.6763079219361249, -0.2883089181627314, -0.50002417809865, 0.7855851218347664, -0.13331384383753322, 0.00522599939856036, -0.07716559266484013, 0.9359740672614123, 0.4578753077863207, -0.01261040926952154, -0.46596234108517476, 0.19204355854448055, 0.026426827393012615, 0.043446974969339414, 0.9971132690515403]",10.073928415775299,33.86956149013713,36.590290657299455
19,494,0.14657860779271087,9.70343816280365,"[-0.8721673195235935, -0.34255366108625307, 0.38568964140169965, 0.02385000326665372, -0.21951470834536202, 0.20664439700234694, 0.8750252187289621, -0.2705832007673712, -0.53115513267818, 0.8734063062002978, -0.48349126630214095, -0.03962950968821183, 0.044208675380362814, 0.9851237513318585, 0.41013044296644724, -0.16021384031922187, -0.5916926990309337, 0.22459698310332232, -0.05167895192088699, -0.030461975801487906, 0.9994854904192128]","[-1.0040567225554136, -0.301597042464855, 0.39048218190106077, -0.2418491775228574, -0.22554066965419492, 0.11501121308270291, 1.1845127825880304, -0.24721603903864514, -0.4972828310285411, 0.9214541653064002, -0.2740114504388808, -0.09617802053251247, -0.029570249089699255, 1.0478518641166545, 0.4667024699377083, -0.024630268288451555, -0.48836577312705437, 0.07429480369494915, -0.01262519814018415, -0.07432025897630579, 1.0529348953789854]",10.542411029338837,"[-0.8774841002989622, -0.2320855995203508, 0.3299168819630629, -0.28244945205525734, -0.26710963016003075, -0.07910236075555563, 0.9987967513304427, -0.4295410129749805, -0.403767940002338, 0.9671239873790245, -0.3953590375079922, -0.12244093810456855, -0.3004624176914605, 0.8343358958833945, 0.3271461668625871, -0.11066527954330643, -0.46139175690291245, 0.02086743494430271, 0.007179714404468275, -0.028698558264090315, 0.9908714281014086]",10.542411029338837,32.41569853287477,33.21160895234783
20,520,0.1420442612474736,9.70343816280365,"[-0.8721673195235935, -0.34255366108625307, 0.38568964140169965, 0.02385000326665372, -0.21951470834536202, 0.20664439700234694, 0.8750252187289621, -0.2705832007673712, -0.53115513267818, 0.8734063062002978, -0.48349126630214095, -0.03962950968821183, 0.044208675380362814, 0.9851237513318585, 0.41013044296644724, -0.16021384031922187, -0.5916926990309337, 0.22459698310332232, -0.05167895192088699, -0.030461975801487906, 0.9994854904192128]","[-0.99738671924102, -0.31227245707183493, 0.5015935623665015, -0.2635349903006331, -0.14304951303425387, 0.057485098634557676, 1.2159304558518917, -0.2891684623760657, -0.4496083953549231, 0.9273901335868999, -0.2976027312567663, -0.07950737146682431, -0.04769795885867855, 1.0239345984029813, 0.47718322685326253, 0.017329356408183283, -0.4574842061535085, 0.06964992339470989, -0.03310210464380542, -0.05036170425178685, 1.1167627093578432]",10.391499698162079,"[-0.7845545172086491, -0.34507546841120473, 0.5278202334231614, -0.3494321250670307, -0.11489894583187082, 0.12874287752409613, 0.9177958643189029, -0.2804169422850318, -0.3299175995987059, 0.9115317754807861, -0.14787182156930587, -0.026760384084475355, -0.2061219599302288, 0.925436014108685, 0.3586778074089539, -0.1374129204905008, -0.4678568721943615, 0.01671635841900762, -0.05764756972337712, 0.011740651663065954, 0.8443109482114611]",10.391499698162079,25.742712963085907,18.618600809894588
