generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,52,0.09427036159544083,37.496334075927734,"[-0.9041399555413336, -0.5906484421028432, -0.31849229651187183, 0.12048296891066977, 0.13917156969691244, 0.06698141675951079, 0.9642272200889003, 0.6560680965303523, 0.2873503743157315, -0.029515447543773, -0.15529861913316034, -0.00016956636513740678, 0.24001807030785005, 0.08340405514367756, 0.986705142873334, 0.6647912583488046, 0.5290807670427585, -0.10615242388066917, -0.9669833818255462, 0.0712159825807701, -0.15277159038843288, 0.09966088845587849, 0.9383304784438539, -0.9931292670065536]","[-0.7528570514653601, -0.7835420789243864, -0.2143416781440612, -0.04501287596042858, 0.03937465787779607, -0.012741385516588382, 1.0185173377332941, 0.6190119068098473, 0.4878195252620894, -0.027285463595712947, -0.253287392166043, 0.033076998012049275, 0.024348225575672375, -0.0025491757558860815, 1.0844861611890797, 0.5990156855382339, 0.5121171691719615, -0.04233777080069186, -1.0465560860695085, 0.024301474796453865, -0.011365649589615839, -0.026742872066267673, 1.0690405251680526, -1.035834667481463]",37.496334,"[-0.9041399555413336, -0.5906484421028432, -0.31849229651187183, 0.12048296891066977, 0.13917156969691244, 0.06698141675951079, 0.9642272200889003, 0.6560680965303523, 0.2873503743157315, -0.029515447543773, -0.15529861913316034, -0.00016956636513740678, 0.24001807030785005, 0.08340405514367756, 0.986705142873334, 0.6647912583488046, 0.5290807670427585, -0.10615242388066917, -0.9669833818255462, 0.0712159825807701, -0.15277159038843288, 0.09966088845587849, 0.9383304784438539, -0.9931292670065536]",37.496334,62.773262,37.327236
2,104,0.09472244052101986,36.91071701049805,"[-0.7095790551375923, -0.6709009090931009, -0.15613108397367692, -0.07968158402330763, 0.0009741039706442495, -0.0330307074551305, 0.9934556766821387, 0.6820222641722944, 0.5064163608676288, -0.05216436306233157, -0.3669585191014849, 0.15686318830307744, -0.07113944902631437, -0.009459783555466122, 0.9798280949012645, 0.6221095859959915, 0.3486156745603133, -0.11991749019467038, -0.9477630442065087, -0.11857372041036504, 0.09197527810116779, -0.12106910604769018, 0.9511043098124234, -0.8980278442915504]","[-0.7401980532934984, -0.7734804063640713, -0.17245366568338863, -0.04682761333622657, 0.03361116867352925, -0.008584269631661964, 0.996030087272096, 0.6605269035371767, 0.49255224000999825, -0.04277405243061746, -0.3113578757980596, 0.038096967818382205, -0.0006894350454427761, -0.005625641343046885, 1.0989826872991186, 0.6090011702864727, 0.5200841913907126, -0.03345866725958793, -1.0667933498122735, -0.021827829277220157, 0.0017447214311156816, -0.07983283603079763, 1.0716138000659168, -1.0209861992735139]",36.910717,"[-0.7095790551375923, -0.6709009090931009, -0.15613108397367692, -0.07968158402330763, 0.0009741039706442495, -0.0330307074551305, 0.9934556766821387, 0.6820222641722944, 0.5064163608676288, -0.05216436306233157, -0.3669585191014849, 0.15686318830307744, -0.07113944902631437, -0.009459783555466122, 0.9798280949012645, 0.6221095859959915, 0.3486156745603133, -0.11991749019467038, -0.9477630442065087, -0.11857372041036504, 0.09197527810116779, -0.12106910604769018, 0.9511043098124234, -0.8980278442915504]",36.910717,52.843197,16.504866
3,156,0.09611558170663442,36.91071701049805,"[-0.7095790551375923, -0.6709009090931009, -0.15613108397367692, -0.07968158402330763, 0.0009741039706442495, -0.0330307074551305, 0.9934556766821387, 0.6820222641722944, 0.5064163608676288, -0.05216436306233157, -0.3669585191014849, 0.15686318830307744, -0.07113944902631437, -0.009459783555466122, 0.9798280949012645, 0.6221095859959915, 0.3486156745603133, -0.11991749019467038, -0.9477630442065087, -0.11857372041036504, 0.09197527810116779, -0.12106910604769018, 0.9511043098124234, -0.8980278442915504]","[-0.7437849201218917, -0.7900142709664879, -0.13637709597394607, -0.037708650075156176, 0.0017500944658897539, -0.020202159943334897, 1.0116614661010759, 0.6522641989797311, 0.4649195800701631, -0.012556288763717283, -0.378111631671122, 0.045184307216577846, 0.04852570435117182, 0.0069448468028666015, 1.083883024080249, 0.6548951545374004, 0.5177534699206336, -0.024242694266576596, -1.044057281515069, 0.004878273242610889, -0.03502045541727391, -0.032229445471929484, 1.054997458561698, -1.0357463660251722]",37.468575,"[-0.8376347111955715, -0.7636361703043384, -0.06448596097723004, -0.0002611177884344687, 0.059090097361372704, 0.024142062304294026, 0.9410992050191443, 0.634829513820946, 0.33532652774000343, 0.04997296265125225, -0.39106878469518985, 0.03887368240189879, 0.10220730703872735, -0.055101777282350606, 0.9775542108928077, 0.6098225728982319, 0.6200985229890204, -0.00625463803930662, -0.8832082330686312, 0.05987003108904333, -0.060669122176357344, 0.07658595955683278, 0.9952215898521564, -0.9962246821507659]",37.468575,54.745224,17.681744
4,208,0.09536903616417099,36.90863037109375,"[-0.7359981920683378, -0.761114596092256, -0.2775844488533934, -0.07399328304550126, -0.0866335429701987, 0.038184111638620746, 0.9302908757947925, 0.49534669879284415, 0.44952204352855174, -0.12246912684986344, -0.27877586326416126, 0.026759319639378505, 0.06331173607276845, 0.09272641370727354, 0.9210240554255021, 0.5883207265587447, 0.688245790180923, 0.0496880329258561, -0.8634229865564893, -0.14965263314693342, -0.07693817448271453, 0.05191623383274837, 0.9891498597660747, -0.9170926376409236]","[-0.7463340840636944, -0.7986744483082525, -0.19252437376928588, -0.0015803134172177504, -0.012410481981150525, -0.0037212749194651604, 0.9866701480698815, 0.6698427362615645, 0.45894839629493595, -0.047279847771959586, -0.3474453699505008, 0.10259384880168762, 0.071634544567009, 0.01730065532332144, 1.1288785041929252, 0.6500768895730963, 0.5329187458378501, 0.0056011934049351245, -1.0461277252435301, -0.0034489359168586916, -0.05395439308151637, -0.022410758429318573, 1.0545481746332237, -1.0107106199519653]",36.90863,"[-0.7359981920683378, -0.761114596092256, -0.2775844488533934, -0.07399328304550126, -0.0866335429701987, 0.038184111638620746, 0.9302908757947925, 0.49534669879284415, 0.44952204352855174, -0.12246912684986344, -0.27877586326416126, 0.026759319639378505, 0.06331173607276845, 0.09272641370727354, 0.9210240554255021, 0.5883207265587447, 0.688245790180923, 0.0496880329258561, -0.8634229865564893, -0.14965263314693342, -0.07693817448271453, 0.05191623383274837, 0.9891498597660747, -0.9170926376409236]",36.90863,56.913975,16.055315
5,260,0.09215296818263381,36.63154983520508,"[-0.7771006952468209, -0.794902021551717, -0.1491672270107227, -0.23856083977336315, 0.03401934949964855, 0.11032849113315821, 0.9064652366897779, 0.7389790513014092, 0.32185774457953586, -0.12477709461634334, -0.40320884325880624, -0.09493402205414408, -0.10889018978783509, -0.07547931752261992, 0.9980098681267014, 0.6316330613367384, 0.5607204215565427, -0.054472077794564214, -0.8127336449556664, -0.025865984591053506, -0.14928001317557707, -0.07268359856327988, 0.8989952463199763, -0.9844239751998509]","[-0.7915275599696706, -0.8059712644243018, -0.1829922105849375, -0.07884540723179935, 0.009501803495913628, 0.03064884652965729, 1.003503389127532, 0.686450645275139, 0.44755238369557643, -0.04872462462974098, -0.34845126729530823, 0.09104176758367999, 0.02144676375074659, -0.022101427587474333, 1.0912027295168556, 0.6529066956146381, 0.5341636529429502, -0.008396375577260612, -1.0942918805541026, 0.014750921780456824, -0.06532610223830951, -0.03797505883408671, 1.084585987284313, -1.0122244320237668]",36.63155,"[-0.7771006952468209, -0.794902021551717, -0.1491672270107227, -0.23856083977336315, 0.03401934949964855, 0.11032849113315821, 0.9064652366897779, 0.7389790513014092, 0.32185774457953586, -0.12477709461634334, -0.40320884325880624, -0.09493402205414408, -0.10889018978783509, -0.07547931752261992, 0.9980098681267014, 0.6316330613367384, 0.5607204215565427, -0.054472077794564214, -0.8127336449556664, -0.025865984591053506, -0.14928001317557707, -0.07268359856327988, 0.8989952463199763, -0.9844239751998509]",36.63155,56.554173,27.702179
6,312,0.1024521213390994,34.901634216308594,"[-0.8937201553266595, -0.9100056386433292, -0.2279831104796134, -0.19247544494672825, -0.021361621597720398, -0.07106982331176318, 0.9948238812355128, 0.6995334563398853, 0.48938595429428516, -0.01741919303118291, -0.33702311881735636, 0.2669950126457583, 0.008265221173559418, -0.03247363761858198, 0.9562623003295546, 0.7421140713540457, 0.48272931745391395, -0.087275795285316, -0.6620917928436567, 0.09068276557416663, -0.0532914085404783, 0.021401741476188695, 0.958691972852821, -0.9998554278105738]","[-0.8087492914090605, -0.8415828071473561, -0.16561309952989758, -0.09048366037343523, 0.033727077201822546, 0.03260191363136916, 1.011693266796726, 0.6649406667266325, 0.44093939000954063, -0.03917553066693822, -0.36610564453714894, 0.1459511794473114, 0.056880699706115145, -0.030644761124152462, 1.1169474262889343, 0.6759224222918341, 0.5468377073086381, -0.024215215287171646, -1.1978771253682943, 0.03128802205599844, -0.1195212314300369, -0.003922595660705258, 1.1124719153647853, -1.0341600747671422]",34.901634,"[-0.8937201553266595, -0.9100056386433292, -0.2279831104796134, -0.19247544494672825, -0.021361621597720398, -0.07106982331176318, 0.9948238812355128, 0.6995334563398853, 0.48938595429428516, -0.01741919303118291, -0.33702311881735636, 0.2669950126457583, 0.008265221173559418, -0.03247363761858198, 0.9562623003295546, 0.7421140713540457, 0.48272931745391395, -0.087275795285316, -0.6620917928436567, 0.09068276557416663, -0.0532914085404783, 0.021401741476188695, 0.958691972852821, -0.9998554278105738]",34.901634,57.64167,25.86452
7,364,0.10727899023894513,34.901634216308594,"[-0.8937201553266595, -0.9100056386433292, -0.2279831104796134, -0.19247544494672825, -0.021361621597720398, -0.07106982331176318, 0.9948238812355128, 0.6995334563398853, 0.48938595429428516, -0.01741919303118291, -0.33702311881735636, 0.2669950126457583, 0.008265221173559418, -0.03247363761858198, 0.9562623003295546, 0.7421140713540457, 0.48272931745391395, -0.087275795285316, -0.6620917928436567, 0.09068276557416663, -0.0532914085404783, 0.021401741476188695, 0.958691972852821, -0.9998554278105738]","[-0.8395409240918854, -0.8497476942099027, -0.17657284907295048, -0.10743424493186299, 0.03923124405023543, 0.06299748644794534, 1.0199607961172183, 0.6621743880272193, 0.4445878752161965, -0.04027628152276931, -0.3791692862063326, 0.15588953386727109, 0.03274537032841939, -0.03634544190676543, 1.1214915022630743, 0.6797075398209332, 0.5423560082749412, -0.005278219154462376, -1.2494233052942814, 0.014778977061909651, -0.10487734956307823, -0.0036342968957571863, 1.1075021695290008, -0.9827928047832766]",36.434624,"[-0.8781825820441165, -0.7334293899974842, -0.1771055257845959, -0.011783663946300274, 0.0740898412217791, 0.0872816361389008, 0.976927730808711, 0.8418651081789512, 0.525056175206495, 0.058974251497582696, -0.3692692332187447, 0.060896941992706136, 0.15401597472757583, 0.009721573439741862, 0.9523631015628288, 0.6769075811368905, 0.6396058427508214, -0.07526724854117603, -0.6981077453003075, 0.054263939377093465, -0.12559619750212767, 0.07303035570019341, 0.9504251904661073, -0.9460798647510968]",36.434624,59.369663,29.17123
8,416,0.11236408452905686,34.901634216308594,"[-0.8937201553266595, -0.9100056386433292, -0.2279831104796134, -0.19247544494672825, -0.021361621597720398, -0.07106982331176318, 0.9948238812355128, 0.6995334563398853, 0.48938595429428516, -0.01741919303118291, -0.33702311881735636, 0.2669950126457583, 0.008265221173559418, -0.03247363761858198, 0.9562623003295546, 0.7421140713540457, 0.48272931745391395, -0.087275795285316, -0.6620917928436567, 0.09068276557416663, -0.0532914085404783, 0.021401741476188695, 0.958691972852821, -0.9998554278105738]","[-0.8161297620274024, -0.8291104451990694, -0.17009729653371067, -0.061981683491162974, 0.07491738102313299, 0.07482426120450636, 1.0140859209263704, 0.6690627911238662, 0.40052153483321284, -0.0518836302813554, -0.32354172659923314, 0.1312115427664411, 0.05951223613015138, -0.032146958390407016, 1.1056689992694284, 0.6736418022967202, 0.5167004670716042, 0.0004458825542810283, -1.323967890240222, 0.029783419948339777, -0.11073360013020107, 0.018681583549255785, 1.1278844129306511, -1.070546493235768]",35.018894,"[-0.6229061100873811, -0.8134862987016477, -0.11544077686103232, -0.02433884740113, 0.14222626552419806, -0.044786202594115254, 0.9608328483564686, 0.8393754784244267, 0.5796336447534385, 0.02486447324772914, -0.3493528429391996, 0.0791983192525278, 0.07968529784082912, 0.026365397535817445, 0.9974703073939145, 0.6068319416117085, 0.40647474289853947, -0.014328700189026993, -0.6633526745062126, 0.02592470938696366, 0.002715808862953667, -0.11626085420672311, 0.8607443020996307, -0.9966677722264999]",35.018894,49.933964,16.690039
9,468,0.11709275117410455,34.5359001159668,"[-0.9347067301531164, -0.811263684637536, -0.0702227344349398, 0.004652010482849432, 0.059193255122739694, 0.01022491165420883, 0.9490014043616665, 0.6293000745913279, 0.29466550063572655, 0.0007160400360680177, -0.23090181481214292, 0.1803004150388447, 0.022102445127882814, -0.07065730382082133, 0.9987621099562468, 0.9432144299979217, 0.395883857284328, 0.053642171282152255, -0.6302119940290571, 0.08855895953842904, 0.030322176487873845, 0.006346869257083099, 0.9920017366710577, -0.9999989870714409]","[-0.8380563336327678, -0.838324845532469, -0.14115147027967467, -0.050630471499446814, 0.0786971161103386, 0.03396917192434956, 1.0315422127427294, 0.6840774258062842, 0.39995197200115457, -0.06747423851798487, -0.30486922198694943, 0.14013154110747672, 0.07277759882812905, -0.05533716272516082, 1.111860822262311, 0.7149567394317394, 0.48262513654294925, -0.0023754746426242067, -1.3839443098688142, 0.022738537181535092, -0.06701753180740735, -0.012786755402767372, 1.1358774184913958, -1.0751167542336648]",34.5359,"[-0.9347067301531164, -0.811263684637536, -0.0702227344349398, 0.004652010482849432, 0.059193255122739694, 0.01022491165420883, 0.9490014043616665, 0.6293000745913279, 0.29466550063572655, 0.0007160400360680177, -0.23090181481214292, 0.1803004150388447, 0.022102445127882814, -0.07065730382082133, 0.9987621099562468, 0.9432144299979217, 0.395883857284328, 0.053642171282152255, -0.6302119940290571, 0.08855895953842904, 0.030322176487873845, 0.006346869257083099, 0.9920017366710577, -0.9999989870714409]",34.5359,54.71686,27.203873
10,520,0.12790693131538855,34.48208999633789,"[-0.8840875320193246, -0.8455302239904409, -0.17582754079536855, -0.16847836187217574, 0.11602938253990128, -0.058909152455395755, 0.8733130406321981, 0.7437697682703022, 0.4877073679659215, -0.05074650394854688, -0.3584064290497814, 0.02380410479118389, -0.11470341705561583, 0.1583989885677647, 0.9331154670352725, 0.49326044003085656, 0.41297042328046774, -0.04462966791099755, -0.5958960216191367, 0.15998027402339046, -0.004701664756342767, 0.09105542343848588, 0.9932088130960998, -0.7001757430950875]","[-0.8658557960564737, -0.8080460296837336, -0.15552244079109456, -0.09296149650216512, 0.05981589686964478, 0.043865581780032435, 1.053234962417259, 0.6827701227972329, 0.4244441963881452, -0.06603268334808803, -0.30189328985727476, 0.16289956978937428, 0.03827818507887996, -0.009751208456166, 1.1490039539893844, 0.6929617632990641, 0.47574381964743684, -0.010225990847368452, -1.4729485772822717, 0.0465946398172829, -0.03430307096263971, -0.005828892979227787, 1.1285867923757353, -1.173184139649984]",34.48209,"[-0.8840875320193246, -0.8455302239904409, -0.17582754079536855, -0.16847836187217574, 0.11602938253990128, -0.058909152455395755, 0.8733130406321981, 0.7437697682703022, 0.4877073679659215, -0.05074650394854688, -0.3584064290497814, 0.02380410479118389, -0.11470341705561583, 0.1583989885677647, 0.9331154670352725, 0.49326044003085656, 0.41297042328046774, -0.04462966791099755, -0.5958960216191367, 0.15998027402339046, -0.004701664756342767, 0.09105542343848588, 0.9932088130960998, -0.7001757430950875]",34.48209,53.607933,21.409882
