generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
1,26,0.095431279493288,38.04794007539749,"[-0.7245141011735557, -0.6478804316709865, -0.4215341666619901, -0.2250468438168489, 0.20334678627926328, 0.04925162470193108, 0.942242354506665, 0.5221029971529915, 0.5326727609575392, -0.1036213776005754, -0.27741613968263357, -0.10073469111446019, -0.0940529887565166, -0.17698162641414553, 0.8815787241896963, 0.5386556250088382, 0.5613551280812955, 0.0014126245192618604, -0.9852642927295712, -0.031553928226685256, -0.10657452718324488, -0.19092466038288675, 0.9243027611800559, -0.9982617997622871]","[-0.770148750965134, -0.7489384107175131, -0.28566744087382073, -0.07217467780672591, 0.05475720827937852, 0.024256815507917924, 1.076816330078057, 0.6579009903845752, 0.46332288362758955, -0.025136144304005945, -0.19547030265952087, -0.06964656657896294, -0.021444256841349065, -0.03201135996259327, 1.100054060641592, 0.6367966596209419, 0.4961573769105407, 0.022056782275468825, -1.0158576569498228, 0.02045107051955667, -0.02916033075052848, -0.05793116673942016, 1.1195536940887565, -1.0700109934632434]",38.04794007539749,"[-0.7245141011735557, -0.6478804316709865, -0.4215341666619901, -0.2250468438168489, 0.20334678627926328, 0.04925162470193108, 0.942242354506665, 0.5221029971529915, 0.5326727609575392, -0.1036213776005754, -0.27741613968263357, -0.10073469111446019, -0.0940529887565166, -0.17698162641414553, 0.8815787241896963, 0.5386556250088382, 0.5613551280812955, 0.0014126245192618604, -0.9852642927295712, -0.031553928226685256, -0.10657452718324488, -0.19092466038288675, 0.9243027611800559, -0.9982617997622871]",38.04794007539749,75.80084674404218,45.77642590774029
2,52,0.09209060122917036,37.5598464012146,"[-0.7399080472202589, -0.6172821722033491, -0.3347558633072758, -0.159995344663517, 0.01879581459825356, -0.04909711290245874, 0.9939960065651157, 0.4831860034446992, 0.6260741140745933, 0.2182800466589087, -0.2869656039713807, -0.09210367717215279, 0.07738767703633372, 0.027376478476676305, 0.9092277743856786, 0.5374154788890483, 0.6098075204622022, 0.09250107298287864, -0.9792268062336899, 0.059834618421309146, 0.04346963638315296, -0.17508734013254104, 0.9985807899170283, -0.9350817190561183]","[-0.8099854509245252, -0.7423835098688178, -0.2762997551079006, -0.10825074716976403, 0.03356661085913163, -0.013412547030556872, 1.110139610524696, 0.6553422881676013, 0.5174985340725771, 0.05240117059285877, -0.2200105905027201, -0.06923026294906716, 0.03358310687966347, -0.012908956580678043, 1.0816386409284973, 0.6439760802935104, 0.5030455082215132, 0.028006682002425728, -1.0267591938013119, -0.012198062503758272, -0.011029237746757962, -0.13904928476678666, 1.0706500840789122, -1.0417295922845933]",37.5598464012146,"[-0.7399080472202589, -0.6172821722033491, -0.3347558633072758, -0.159995344663517, 0.01879581459825356, -0.04909711290245874, 0.9939960065651157, 0.4831860034446992, 0.6260741140745933, 0.2182800466589087, -0.2869656039713807, -0.09210367717215279, 0.07738767703633372, 0.027376478476676305, 0.9092277743856786, 0.5374154788890483, 0.6098075204622022, 0.09250107298287864, -0.9792268062336899, 0.059834618421309146, 0.04346963638315296, -0.17508734013254104, 0.9985807899170283, -0.9350817190561183]",37.5598464012146,56.63419765004745,20.605735100401656
3,78,0.09018463149287796,37.5598464012146,"[-0.7399080472202589, -0.6172821722033491, -0.3347558633072758, -0.159995344663517, 0.01879581459825356, -0.04909711290245874, 0.9939960065651157, 0.4831860034446992, 0.6260741140745933, 0.2182800466589087, -0.2869656039713807, -0.09210367717215279, 0.07738767703633372, 0.027376478476676305, 0.9092277743856786, 0.5374154788890483, 0.6098075204622022, 0.09250107298287864, -0.9792268062336899, 0.059834618421309146, 0.04346963638315296, -0.17508734013254104, 0.9985807899170283, -0.9350817190561183]","[-0.767958240826064, -0.7667254159150209, -0.30627981811592586, -0.15551153419873934, 0.05984074377888092, -0.00791127544848225, 1.1421317740896386, 0.6858304348412174, 0.4629160642438638, 0.021767325920739856, -0.1804215859241355, -0.07846122686800351, 0.05849424461689904, 0.00737748627359344, 1.0641587194702353, 0.6581237107804796, 0.5343988716448164, 0.02410666513259309, -0.9736893675495413, 0.029712585351843485, -0.06298330586999233, -0.12341133713916586, 1.0916006143764858, -1.0569284180776592]",37.64171367883682,"[-0.7459492804717843, -0.758495756255418, -0.3618081965613999, -0.19533456342180233, 0.048697283956423816, 0.054315830832520645, 0.9293194840435529, 0.740805309698024, 0.412569513326825, 0.020693974834793946, -0.17203540962106104, -0.15672136994613273, 0.09425183671482534, -0.09337053590265701, 0.9738319832071711, 0.6970230178333728, 0.5653100637000961, -0.0306666323798552, -0.9789367085776013, -0.008318855105170499, -0.16784980967414312, -0.20632656734667054, 0.9677852409457504, -0.987842471213452]",37.64171367883682,55.65602455001611,15.182862022384365
4,104,0.08802723393114323,37.5598464012146,"[-0.7399080472202589, -0.6172821722033491, -0.3347558633072758, -0.159995344663517, 0.01879581459825356, -0.04909711290245874, 0.9939960065651157, 0.4831860034446992, 0.6260741140745933, 0.2182800466589087, -0.2869656039713807, -0.09210367717215279, 0.07738767703633372, 0.027376478476676305, 0.9092277743856786, 0.5374154788890483, 0.6098075204622022, 0.09250107298287864, -0.9792268062336899, 0.059834618421309146, 0.04346963638315296, -0.17508734013254104, 0.9985807899170283, -0.9350817190561183]","[-0.7461821862019368, -0.7526314119071051, -0.34636750590117166, -0.12749703781546026, 0.06715431723839789, 0.05144322972963658, 1.1620510901469632, 0.6983209651939146, 0.39617979048074314, 0.03730333607199988, -0.17852780171344496, -0.021048618165251963, -0.027964876192274866, -0.001355878367628986, 1.0488323884759787, 0.6554621575898094, 0.5306953877700632, 0.03747567670762077, -0.9705855020927967, 0.05138351463091493, -0.06662706912023565, -0.11587077930229325, 1.0819780896514022, -1.0570212976067925]",38.251083731651306,"[-0.6508409731937649, -0.7714598454756493, -0.3163330178377601, -0.173805897513977, 0.08237732982429784, 0.17512622650383386, 0.9985451351854199, 0.724101148909596, 0.27136828244127853, 0.062260301903592656, -0.20317324312152463, 0.060885559588964785, -0.058591606374680395, -0.017435359671041817, 0.9507749716349326, 0.6714383275676417, 0.4483873205300354, -0.09208265089512083, -0.9373259257063248, 0.09542713007702622, -0.04102650266158109, -0.11865291053026668, 0.9995079129728457, -0.996927885136859]",38.251083731651306,56.39678141130851,14.433139378363139
5,130,0.08843499987928066,37.341867208480835,"[-0.7020477998474277, -0.6441480078616465, -0.2549589341627639, -0.05204067891905302, 0.1849777749482434, -0.0124195657016071, 0.8296279372447682, 0.8988968380102583, 0.4534929521643949, 0.02539256825340956, -0.30170469891439633, -0.16385896654791482, 0.09436787536905693, -0.11571578905529159, 0.9883293935318845, 0.5893540663755334, 0.5413963811659142, -0.07769222613268642, -0.8130971253097198, -0.07881851981808888, -0.12762136184193604, -0.1321015064138914, 0.9923910753121891, -0.9131804496617308]","[-0.7109879170102028, -0.6995518496213364, -0.30134382429837403, -0.14332775560112043, 0.09458854973255618, 0.03824508858531516, 1.2094686104102563, 0.7571040527166425, 0.3543691318041192, 0.008047653928120362, -0.20606709244987287, -0.04561568149119392, -0.007861703464690856, -0.04178461973198, 1.0723118170955601, 0.6153519386206794, 0.5291582458110313, 0.025417231212716957, -0.9182374930169069, -0.004166585902403485, -0.042272527977859624, -0.08096593641409752, 1.079387357637783, -1.1044326743924815]",37.341867208480835,"[-0.7020477998474277, -0.6441480078616465, -0.2549589341627639, -0.05204067891905302, 0.1849777749482434, -0.0124195657016071, 0.8296279372447682, 0.8988968380102583, 0.4534929521643949, 0.02539256825340956, -0.30170469891439633, -0.16385896654791482, 0.09436787536905693, -0.11571578905529159, 0.9883293935318845, 0.5893540663755334, 0.5413963811659142, -0.07769222613268642, -0.8130971253097198, -0.07881851981808888, -0.12762136184193604, -0.1321015064138914, 0.9923910753121891, -0.9131804496617308]",37.341867208480835,59.027147978544235,16.738854132526054
6,156,0.08843407168620282,36.68327885866165,"[-0.8052439297768232, -0.6083958045783127, -0.41495293921835774, -0.12080212427163588, 0.09450382444858335, 0.12463366725138794, 0.8406713120616377, 0.7025843731746199, 0.39880416790068923, 0.06809390808790594, -0.14206758263491187, 0.01939831212313902, 0.035529915003391435, -0.06783597839961973, 0.9371587120598411, 0.6943934563865696, 0.6761027092836581, 0.010549196465028539, -0.8089897918438389, 0.013073098912688232, -0.10552097968326665, -0.06769035562135846, 0.9903850589332517, -0.9775946437058718]","[-0.7750691320556117, -0.6986775954340648, -0.31150181250337955, -0.12708863756545855, 0.11925568311692399, 0.06217829572611696, 1.2361164888406548, 0.7110973877122054, 0.3638731409724458, -0.017367061533072686, -0.20386983696959093, -0.03092139848223908, -0.01210517266161264, -0.031925475977486746, 1.1052639751853985, 0.6280655731420464, 0.5603175276673956, 0.010760083375262868, -0.8529436498140119, 0.021573383914121634, -0.046148098894676706, -0.017812276260208128, 1.0615204115321615, -1.1245306799906685]",36.68327885866165,"[-0.8052439297768232, -0.6083958045783127, -0.41495293921835774, -0.12080212427163588, 0.09450382444858335, 0.12463366725138794, 0.8406713120616377, 0.7025843731746199, 0.39880416790068923, 0.06809390808790594, -0.14206758263491187, 0.01939831212313902, 0.035529915003391435, -0.06783597839961973, 0.9371587120598411, 0.6943934563865696, 0.6761027092836581, 0.010549196465028539, -0.8089897918438389, 0.013073098912688232, -0.10552097968326665, -0.06769035562135846, 0.9903850589332517, -0.9775946437058718]",36.68327885866165,58.85594293131278,14.766535329214818
7,182,0.09193259099212052,35.53134769201279,"[-0.8224511319836759, -0.7169513983619605, -0.19836502734160133, -0.2427379184025189, 0.10792153068470348, 0.2811752358868391, 0.8013445418573614, 0.9524559786829624, 0.26497653410199895, 0.05841813697974635, -0.3156021378627237, 0.026403653103703347, 0.09387354614981218, -0.14595327536436956, 0.9971644933538812, 0.7931836588303516, 0.5692253741851329, 0.13171753741955108, -0.690054048854642, 0.012675788660770262, -0.04445651766367217, -0.021019411871840258, 0.9513179146693449, -0.9361280182499556]","[-0.8233383486308838, -0.6785960440978498, -0.31241355118193065, -0.12664263380335794, 0.10491801488155769, 0.10387235696163635, 1.2633256021131194, 0.7532319960846542, 0.3476416661391125, 0.026766276258555623, -0.22899218834943935, -0.04423172696186709, 0.0598789020782933, -0.010549299547606718, 1.1118757915378215, 0.6315920522013533, 0.5467605999538413, 0.045081570026258205, -0.7874977790193634, 0.027404791831291755, -0.033001533311024324, 0.023334100932863488, 1.087602825168921, -1.1422869251795662]",35.53134769201279,"[-0.8224511319836759, -0.7169513983619605, -0.19836502734160133, -0.2427379184025189, 0.10792153068470348, 0.2811752358868391, 0.8013445418573614, 0.9524559786829624, 0.26497653410199895, 0.05841813697974635, -0.3156021378627237, 0.026403653103703347, 0.09387354614981218, -0.14595327536436956, 0.9971644933538812, 0.7931836588303516, 0.5692253741851329, 0.13171753741955108, -0.690054048854642, 0.012675788660770262, -0.04445651766367217, -0.021019411871840258, 0.9513179146693449, -0.9361280182499556]",35.53134769201279,46.76255442889837,13.46538557726148
8,208,0.09464064222216877,35.00647121667862,"[-0.8741080593105436, -0.7223781914756904, -0.0941211067085938, -0.028651475098112847, 0.15312059125500416, 0.05046923084353216, 0.8166600345271061, 0.6657016719666506, 0.41416661665715054, -0.03891408739623979, -0.373882486835972, 0.10595981599194867, -0.03344533360799305, 0.06381946375509945, 0.9951277978976516, 0.6557160088843735, 0.600886621506626, 0.03398721221301387, -0.6783949804682249, -0.011142198949826133, -0.0962703060519148, -0.03573103008054468, 0.8874183899533657, -0.8142244933960259]","[-0.811233849538313, -0.7086721174842014, -0.29212893837099413, -0.07141222634192997, 0.12519279236574618, 0.09793626121668508, 1.2829109239130319, 0.7158631852671211, 0.37045911774094914, -0.06661760703460956, -0.24711710261724087, -0.0040048254317826305, 0.07251318656488294, -0.013609139746292598, 1.087630047437457, 0.5814526976569131, 0.5368421401663059, 0.0229068126608543, -0.7290385363047747, 0.013429372015802047, -0.09905428361832262, -0.009884200735735017, 1.1216945142493053, -1.147658877476907]",35.00647121667862,"[-0.8741080593105436, -0.7223781914756904, -0.0941211067085938, -0.028651475098112847, 0.15312059125500416, 0.05046923084353216, 0.8166600345271061, 0.6657016719666506, 0.41416661665715054, -0.03891408739623979, -0.373882486835972, 0.10595981599194867, -0.03344533360799305, 0.06381946375509945, 0.9951277978976516, 0.6557160088843735, 0.600886621506626, 0.03398721221301387, -0.6783949804682249, -0.011142198949826133, -0.0962703060519148, -0.03573103008054468, 0.8874183899533657, -0.8142244933960259]",35.00647121667862,50.77365464545213,15.871499523760084
9,234,0.10318039733606765,34.51369458436966,"[-0.8057238847754696, -0.7343322478845751, -0.1695871987667293, -0.14222726488670728, 0.05763079885678969, 0.16893464208165435, 0.6111820776957407, 0.7003950505502166, 0.44098642470001026, -0.24484317181438345, -0.2547145964442109, -0.1705857050116198, 0.08153523445073306, -0.18694127775019267, 0.9989945405425589, 0.6726089749199687, 0.46317599071062043, -0.12115892212849909, -0.5696251953952614, 0.10012560429530255, 0.028430566328999998, -0.002843265455512307, 0.9667900423650704, -0.9362098856157126]","[-0.8149739488706809, -0.6586181343294873, -0.23343055169930002, -0.08474116360836209, 0.07580573817308381, 0.11210488138930198, 1.3443328544762807, 0.7460720294912073, 0.38083880148895155, -0.10949482850366309, -0.23873920855648176, -0.055247640717079535, 0.10817448502016291, -0.06538042512576013, 1.0670647117072751, 0.6097292225387886, 0.4999055968818026, -0.033284868238063196, -0.6201958637384474, 0.02728874105553072, -0.09096469392516292, 0.007884437367482096, 1.1207352500035566, -1.1995030168500385]",34.51369458436966,"[-0.8057238847754696, -0.7343322478845751, -0.1695871987667293, -0.14222726488670728, 0.05763079885678969, 0.16893464208165435, 0.6111820776957407, 0.7003950505502166, 0.44098642470001026, -0.24484317181438345, -0.2547145964442109, -0.1705857050116198, 0.08153523445073306, -0.18694127775019267, 0.9989945405425589, 0.6726089749199687, 0.46317599071062043, -0.12115892212849909, -0.5696251953952614, 0.10012560429530255, 0.028430566328999998, -0.002843265455512307, 0.9667900423650704, -0.9362098856157126]",34.51369458436966,43.718496578244064,12.648141831054684
10,260,0.11175571109075837,34.27130138874054,"[-0.8217384658841858, -0.6580302421287656, -0.23608495524882636, -0.030021555969752138, -0.04171731344399998, 0.08496505247187436, 0.7318263466722955, 0.8299355327830489, 0.3381124764577103, -0.15533602239434002, -0.38128014850912295, -0.08578828451591028, 0.24488678086725285, -0.012149625469194618, 0.9425846337482701, 0.5303486332496534, 0.400763228563764, -0.09731315667566579, -0.651941736537884, 0.0465152550416672, -0.034431616210932325, -0.0662984538090435, 0.9899131206845004, -0.9231907080212116]","[-0.8304982450238237, -0.6721586019435171, -0.23992912997210367, -0.001595140303254222, 0.05985766413437782, 0.16467962563260619, 1.3778530214155662, 0.7993186244331045, 0.39091079187451566, -0.1264021396229428, -0.2767880316747671, -0.0681663824254518, 0.17655421502949356, -0.08551207735587571, 1.06499702700425, 0.6131493830633877, 0.4896776681801008, -0.06955227185094959, -0.6022219540204206, 0.005131390077726295, -0.10675227541961413, 0.016968541578810538, 1.1417086486742318, -1.2185085776117655]",34.27130138874054,"[-0.8217384658841858, -0.6580302421287656, -0.23608495524882636, -0.030021555969752138, -0.04171731344399998, 0.08496505247187436, 0.7318263466722955, 0.8299355327830489, 0.3381124764577103, -0.15533602239434002, -0.38128014850912295, -0.08578828451591028, 0.24488678086725285, -0.012149625469194618, 0.9425846337482701, 0.5303486332496534, 0.400763228563764, -0.09731315667566579, -0.651941736537884, 0.0465152550416672, -0.034431616210932325, -0.0662984538090435, 0.9899131206845004, -0.9231907080212116]",34.27130138874054,58.82256948030912,30.321591294382955
