generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
11,286,0.10285928306667089,8.652084350585938,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]","[-0.9658732034995984, -0.8490234038851592, -0.2813652116790409, -0.35939700856788637, -0.12818856415154922, -0.016514225059735606, 0.9855484886268756, -0.22180702379430944, -0.3428771107929859, 0.688612881480437, -0.27646973025767957, 0.17068275742750552, 0.25044957728523004, 1.2531288401301648, 0.48194003919958067, -0.021309833915161204, -0.595763740072105, -0.022973225812522216, -0.013611241594849569, -0.06651630879967994, 0.934164360831063]",8.690961,"[-0.9280031678873291, -0.9192888536099554, -0.25474468586426674, -0.3513869183354829, -0.17363994857518256, 0.028578306443258473, 0.9870046560257302, -0.319669188672591, -0.16892023351586882, 0.6953993085154021, -0.35432284652775137, 0.10459736097800898, 0.20913767916145806, 0.8673928736351603, 0.43062808081415516, 0.08178204863356928, -0.5402340915310323, -0.0360412750654365, 0.015836903237765543, 0.020011286936075803, 0.8862279779088664]",8.690961,14.483063,11.775401
12,312,0.10588831023083804,8.652084350585938,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]","[-0.9836058088033672, -0.8838285116570986, -0.29316044195996194, -0.37559453844333623, -0.18790690375183922, -0.05246209966044542, 0.9278852640131554, -0.15229888473121017, -0.34187423774300696, 0.5946374412553858, -0.3112615957192363, 0.08727681817569205, 0.17247424490906274, 1.249390586912901, 0.491901575835674, 0.0061866234736391214, -0.5919193867137199, -0.02943070333508109, -0.00892284465333924, -0.06130932367369643, 0.9757240271687467]",8.679051,"[-0.921489569336399, -0.8138257464669076, -0.18256033907330094, -0.2797848954278304, -0.16694194610080754, -0.1414811385739823, 0.9832647504278927, -0.03222615691028094, -0.33131280346743913, 0.49269574035739805, -0.14966761399729894, 0.02847816679559273, 0.060172742693848286, 0.948207826901616, 0.5104594083870737, 0.004022866969105043, -0.7321667947060937, 0.004247978473353755, -0.021625914887898775, -0.03001607244988659, 0.9700020806594349]",8.679051,13.426122,10.51463
13,338,0.10913686294961877,8.652084350585938,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]","[-1.0249206979833907, -0.8857016214445698, -0.3031384726777915, -0.4250782167532348, -0.2484502170574606, -0.07224259876285781, 0.9281771125901163, -0.13177179545847292, -0.3136924849098489, 0.5852054490087866, -0.35368572924396974, 0.08141331041801406, 0.19630579186273375, 1.2639854009059432, 0.48568189251785737, 0.0026859840265908916, -0.6274986667274647, 0.008681488547002278, -0.03546000443282863, -0.03689071085038221, 0.9890571645580365]",9.069087,"[-0.9861077646391996, -0.8078491225400017, -0.2971726315558497, -0.4569913251404506, -0.17058319876989944, -0.08939591563623717, 0.8898096477942039, -0.05318831241377277, -0.33914666386227116, 0.5918643811119612, -0.44597302100212577, 0.19763509389356027, 0.2863223042113999, 0.8401294446733741, 0.544574448813264, 0.04978657867289454, -0.5602957483030226, 0.06934967910453951, 0.011596050600979728, -0.05913208825447954, 0.9979990313070107]",9.069087,14.261084,10.30196
14,364,0.10607821562700763,8.652084350585938,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]","[-1.0182690574265896, -0.8593833538633393, -0.310453502640842, -0.40712342450479605, -0.17591105492935954, -0.05522174608302216, 0.8681053039960305, -0.18399975442996833, -0.33854073901239917, 0.5568195203475251, -0.3900737914261635, 0.139168578229256, 0.14916550603035367, 1.268811661712884, 0.47401308486219956, -0.011082375025547502, -0.6372802316595284, 0.007800220120959567, -0.029563064112962976, -0.0002483216238304357, 0.9695701820553979]",8.9426,"[-0.9980133224615834, -0.8292712862285571, -0.23898013824534775, -0.34050663101816236, -0.22714187440142977, -0.07153473598818226, 0.7486107511314208, -0.24543819862911842, -0.41318160709459406, 0.5938813380416426, -0.5155044119543404, 0.2854520618725306, 0.06669441796143041, 0.8608701059848781, 0.4356137269870506, -0.11055384898910392, -0.5683683584259092, -0.05787968111780252, 0.040691010917939675, 0.02978935747139478, 0.8387696987472211]",8.9426,14.386344,12.1303625
15,390,0.10146187703882496,8.652084350585938,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]","[-0.9749592928011473, -0.8435384518569706, -0.2769982639914626, -0.3669873489059339, -0.224860075548378, 0.016425948330667756, 0.8481389001360292, -0.2076582187996316, -0.3175968412662982, 0.5464997813102805, -0.39491042082063743, 0.16578183397942556, 0.1379192324591073, 1.2413085192300295, 0.48691365290617256, 0.017573455575097097, -0.5929202429764606, -0.003395337273671506, -0.029960270518268724, 0.025839536444826037, 0.9943494166997354]",8.866572,"[-0.9912003504678214, -0.931190360096806, -0.3222806488058095, -0.48681231864172453, -0.4206894985874366, 0.18915414729323018, 0.8700690478639646, -0.2626931384491065, -0.2161863077867082, 0.6016471361321071, -0.4256903117003438, 0.13019668371876628, 0.23609481017497527, 0.7603898857336601, 0.5550008578185992, -0.052746430396764805, -0.603063351335655, -0.11400087869207506, 0.018419066046392322, -0.007341499153057286, 0.9833465856136661]",8.866572,13.945803,10.553938
16,416,0.10086915946684442,8.652084350585938,"[-0.9992572785687913, -0.949813225947431, -0.22425835931968346, -0.3790664380636042, -0.1155670035087339, 0.014402852177837766, 0.9263126099015045, -0.07949748663938025, -0.4916539896512703, 0.6609022607002853, -0.36784351854952446, 0.3189182345450543, 0.24538873271446685, 0.8299012004703493, 0.44918734287396617, -0.018347620373441606, -0.6483223408725607, 0.055671623849661414, -0.019916551694343598, -0.08254498739707467, 0.9319435619417632]","[-1.0203631699872224, -0.8291108970781293, -0.2709878344370118, -0.3345585367361567, -0.2327744743728041, -0.03727694902875769, 0.803384091017841, -0.1172888116851603, -0.34590884666586436, 0.4789469313034975, -0.41701733123784673, 0.16380794492036294, 0.16168536895384136, 1.254296020957419, 0.529691024284393, -0.020811411489142777, -0.6084289830487674, 0.04000402161016231, -0.01004630057645717, -0.005235175162217112, 1.0354393974810367]",8.702289,"[-0.9775667534166328, -0.9117088477609974, -0.247891300816992, -0.3389565217519548, -0.20475937313435658, -0.026604642556245093, 0.7044343242015404, -0.09465708882928432, -0.2277030861567448, 0.27587807133922965, -0.4614963880482831, 0.13400627786160615, 0.24165814809393554, 0.7371105988472978, 0.5267308640777486, 0.006685463925452422, -0.6450791854542662, 0.0563700436566962, 0.038913378535870104, -0.009136770692094742, 0.9929483649792533]",8.702289,10.25788,0.95607156
17,442,0.1019182090127236,8.443572998046875,"[-0.9149949861401895, -0.8679049912949666, -0.2998275052593825, -0.3653199263241993, -0.22912991505246724, 0.08512450843695699, 0.8186946563647848, -0.1036582927554294, -0.3458096960606758, 0.36669882042161955, -0.25684704811304243, 0.02004057832975506, 0.08746505321850037, 0.7570715056872636, 0.5728788307937054, -0.044385189531667556, -0.6606929116892326, -0.0737549723636644, 0.019927925509138397, -0.0030820482135130636, 0.986559453365108]","[-1.0322890376527782, -0.8325170102591676, -0.3017314442454071, -0.3854675760188127, -0.2884983402196139, -0.01616123211674368, 0.8085918017536109, -0.11972347785153588, -0.3187682168462955, 0.4040748558097063, -0.3909942723103913, 0.10080898858318246, 0.12634504074788647, 1.2715865485664712, 0.49742109373509025, 0.0091443923966618, -0.6106604807711198, -0.019615380664389614, 0.005541037650371431, 0.02891096492759233, 1.076062508549617]",8.443573,"[-0.9149949861401895, -0.8679049912949666, -0.2998275052593825, -0.3653199263241993, -0.22912991505246724, 0.08512450843695699, 0.8186946563647848, -0.1036582927554294, -0.3458096960606758, 0.36669882042161955, -0.25684704811304243, 0.02004057832975506, 0.08746505321850037, 0.7570715056872636, 0.5728788307937054, -0.044385189531667556, -0.6606929116892326, -0.0737549723636644, 0.019927925509138397, -0.0030820482135130636, 0.986559453365108]",8.443573,11.740088,7.7708426
18,468,0.10498295077995458,8.443572998046875,"[-0.9149949861401895, -0.8679049912949666, -0.2998275052593825, -0.3653199263241993, -0.22912991505246724, 0.08512450843695699, 0.8186946563647848, -0.1036582927554294, -0.3458096960606758, 0.36669882042161955, -0.25684704811304243, 0.02004057832975506, 0.08746505321850037, 0.7570715056872636, 0.5728788307937054, -0.044385189531667556, -0.6606929116892326, -0.0737549723636644, 0.019927925509138397, -0.0030820482135130636, 0.986559453365108]","[-1.0460800648791002, -0.7886766444578601, -0.3217651824418225, -0.3930736941482054, -0.27184487272961055, -0.02194750975496758, 0.7622193670908736, -0.10102858418177538, -0.3301436975305406, 0.3612076041336161, -0.40741204715692525, 0.0572654101666361, 0.13369765849292115, 1.218598940617989, 0.5310806280081287, 0.012862977421743619, -0.5717621462597169, -0.02388277947768113, 0.020592564045791975, 0.0745297218595208, 1.0886646297553346]",8.680927,"[-0.9968572829070622, -0.7741595886616566, -0.31970032778492014, -0.47735768303133624, -0.28701324941335654, 0.019563553396953055, 0.7494971521066015, -0.061495522449574985, -0.24069186824518463, 0.27431026524954827, -0.4181390667255011, 0.009327168223146026, 0.2766267008517946, 0.9990549581008643, 0.5866999068500941, -0.10565458919314417, -0.649379485029754, -0.018706095302491302, 0.0644067222882647, 0.12228580664836049, 0.9747627162437014]",8.680927,12.036189,6.9464393
19,494,0.1083993359293431,8.443572998046875,"[-0.9149949861401895, -0.8679049912949666, -0.2998275052593825, -0.3653199263241993, -0.22912991505246724, 0.08512450843695699, 0.8186946563647848, -0.1036582927554294, -0.3458096960606758, 0.36669882042161955, -0.25684704811304243, 0.02004057832975506, 0.08746505321850037, 0.7570715056872636, 0.5728788307937054, -0.044385189531667556, -0.6606929116892326, -0.0737549723636644, 0.019927925509138397, -0.0030820482135130636, 0.986559453365108]","[-1.0393275544645724, -0.7602744583168465, -0.3421893314802129, -0.3320750566397904, -0.27372870075840144, -0.05435555241923895, 0.8383028420299842, -0.1122847686523156, -0.341620056487228, 0.3271207107795912, -0.3195377875421138, 0.0924477143218902, 0.13176042206794805, 1.198186842363096, 0.5242507895652807, -0.045856664594536356, -0.5465369195759396, -0.06242876746893127, 0.031623546891928256, 0.02548069554859547, 1.1904372553992444]",9.0801525,"[-0.983501439103646, -0.6462544047103532, -0.33245512043714237, -0.26857058222070884, -0.14588448162850534, -0.10535669719133584, 0.8687281558167017, -0.13781096783613972, -0.3284389613760733, 0.22676180117276198, -0.199456368647292, 0.18771638841085644, 0.035465514151676925, 0.93051033207835, 0.5144154871013632, -0.11833283936587803, -0.5353202992821287, -0.04001251670992059, 0.043311862678763184, -0.08380202447586992, 0.8141044502546099]",9.0801525,23.55612,25.277311
20,520,0.10807294363527334,8.443572998046875,"[-0.9149949861401895, -0.8679049912949666, -0.2998275052593825, -0.3653199263241993, -0.22912991505246724, 0.08512450843695699, 0.8186946563647848, -0.1036582927554294, -0.3458096960606758, 0.36669882042161955, -0.25684704811304243, 0.02004057832975506, 0.08746505321850037, 0.7570715056872636, 0.5728788307937054, -0.044385189531667556, -0.6606929116892326, -0.0737549723636644, 0.019927925509138397, -0.0030820482135130636, 0.986559453365108]","[-1.035685111466616, -0.7578171419685659, -0.3176246085250822, -0.3506823500428825, -0.2820486804881275, -0.03349261591181713, 0.8370189346344116, -0.0726673717899679, -0.33225094445587366, 0.2976437071857202, -0.3079606746469906, 0.11926719531039202, 0.04830915376208416, 1.1907195987845192, 0.5006958593679816, -0.05987751322834776, -0.5538067422895956, -0.02390495027157686, 0.01031542463814366, -0.024666219931543384, 1.2081991222370436]",8.790258,"[-0.9990377878270664, -0.7746624512903041, -0.4019992045629988, -0.4231453994898031, -0.22776031421988507, -0.07130954750189704, 0.7194502759289573, -0.10901013943458725, -0.3819669106095102, 0.10405686888310825, -0.4830578449839937, 0.12105579621004423, -0.10235281649384953, 0.9909785288070864, 0.47508112345522213, -0.2615427908459226, -0.6298637130430587, 0.10102961080032341, -0.006731408484614461, -0.05770122518516585, 0.9240601308590969]",8.790258,12.669639,6.777995
