generation,evals,sigma,best_f,best_x,mean,best_f_gen,best_x_gen,f_gen_min,f_gen_mean,f_gen_std
11,286,0.1073091054014642,8.654592514038086,"[-0.8595257554525618, -0.5432823317165625, -0.34406892794651905, -0.06489454148025053, -0.13385822201174036, -0.029350594497314676, 0.9639567198108181, -0.10666032654433524, 0.08043742743851953, 0.45890847969203236, -0.07249184511847395, 0.17622812646976455, -0.2240971376578974, 0.9990152546886854, 0.5246242500164654, 0.08900847021225217, -0.665182494244, -0.0004711958406252853, -0.008151496152142543, 0.0897779397303008, 0.954500262076736]","[-0.9507070385995718, -0.515053714846584, -0.29810607573105835, -0.07024721734909438, -0.07765001311090888, -0.04130263278251075, 1.0614898166860403, -0.10345254036063296, -0.037512100405046434, 0.44593409439067466, -0.019830775824060645, 0.16906957523256563, -0.11830861956831415, 1.0266979576480912, 0.5274156249737033, 0.03645068827509691, -0.556180116658693, -2.1959454793705406e-05, 0.030266433823596648, -0.0034302892168650975, 1.0709024406125502]",8.6545925,"[-0.8595257554525618, -0.5432823317165625, -0.34406892794651905, -0.06489454148025053, -0.13385822201174036, -0.029350594497314676, 0.9639567198108181, -0.10666032654433524, 0.08043742743851953, 0.45890847969203236, -0.07249184511847395, 0.17622812646976455, -0.2240971376578974, 0.9990152546886854, 0.5246242500164654, 0.08900847021225217, -0.665182494244, -0.0004711958406252853, -0.008151496152142543, 0.0897779397303008, 0.954500262076736]",8.6545925,10.964681,2.2265184
12,312,0.10403764020400433,8.428182601928711,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]","[-0.9885319264373287, -0.3933933254900684, -0.2724066070416923, -0.09696768860534284, -0.051141453824510026, 0.029330284270172455, 1.1140028567687028, -0.07681661780546074, -0.1074063474515746, 0.44628260065425424, 0.02321623809543843, 0.19677065386846146, -0.07358868366496081, 1.0774795216517443, 0.5269246556725211, 0.043405354242004965, -0.6140925073715967, 0.02765621485307312, 0.01903982782950452, -0.034631865540058905, 1.062941299190039]",8.428183,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]",8.428183,14.143969,10.974029
13,338,0.101955255875182,8.428182601928711,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]","[-0.8881934417818866, -0.4092099918872443, -0.2459203506507441, -0.07120602289579103, -0.026906202429817592, 0.024044710917076502, 1.1638326563232135, -0.11377631269478916, -0.18409066997220286, 0.48558648040328634, 0.061885851042654316, 0.18663444683153732, 0.021338008953065615, 1.1181376281551982, 0.511583287104227, 0.07390231481150189, -0.5674444387084121, 0.07630358922331663, -0.012402893132387408, -1.2409752170095315e-05, 1.0238099941036098]",9.047691,"[-0.9349917093331791, -0.19760299972829173, -0.04223350947477919, -0.12966567288331007, 0.07545416752293838, 0.11790451075376264, 0.9717557688395074, -0.03933961804783212, -0.21721613980748783, 0.4735497026116815, 0.14235132130053346, 0.2011322973148165, 0.1495165370374727, 0.9267653414094558, 0.5348435054909285, 0.08322498054848962, -0.6180792689812199, 0.15142314993672082, -0.022673506233221997, 0.022065555623954118, 0.8906734704415712]",9.047691,15.42189,11.53451
14,364,0.10068979759672632,8.428182601928711,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]","[-0.8965970585345372, -0.4079410648612654, -0.25090330765735286, -0.001815268536052924, -0.017449177407584462, 0.08155690677769752, 1.1766150219607792, -0.1674185653531051, -0.15231911849169075, 0.46010518088879454, 0.009518198870531529, 0.17351226509533618, 0.03611286362314319, 1.1628282507390104, 0.5109122831654872, 0.0630055007629197, -0.5832803741274329, 0.06745382890430311, -0.010243389524449715, -0.019317065858852678, 1.0292340731950274]",8.985828,"[-0.9974326841873159, -0.3573742415487571, -0.27326627340435156, -0.030039486236210396, 0.05035220707331402, 0.1710665433511342, 0.8407857494016898, -0.17164613471065787, -0.08121793213992579, 0.5270531870068487, -0.04653938850075873, 0.08460005127105051, 0.07843587613970504, 0.7781704988589538, 0.4732862863679198, -0.030750974024862793, -0.6453382311705883, 0.024438479125630345, 0.019272992335655877, -0.12262964459036517, 0.9999995621130482]",8.985828,21.958172,43.29791
15,390,0.10141847256467461,8.428182601928711,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]","[-0.9413547832796516, -0.36431147890370863, -0.2636246674325856, 0.009717547053314766, -0.08464839108713182, 0.09104807067388383, 1.1894138665998295, -0.21144567667264844, -0.09219945098000475, 0.4525193467760986, 0.0032882037840574686, 0.21475270350544506, 0.0053646168865713936, 1.2205103344201407, 0.5043601144369453, 0.03627698791480172, -0.6316761937420615, 0.022567606883239555, 0.00012605837401002303, -0.0176166903879892, 1.0483896087990503]",9.000965,"[-0.9680907520657562, -0.4055295798641099, -0.3533718318234628, -0.014296791758415573, -0.13078417428090955, 0.1209883761059776, 0.7294142625801229, -0.2399850871729589, -0.12518209086372756, 0.41740731117225854, 0.03146489935763838, 0.29916854175613045, -0.11266827482607861, 0.864453997624378, 0.541949134167363, -0.18084653726644018, -0.6773351562532588, -0.05173028241389542, -0.016062882461396616, -0.04455459796687168, 0.9865026589437838]",9.000965,14.296746,11.646083
16,416,0.09760751940232587,8.428182601928711,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]","[-0.9595989400589701, -0.36960576879779317, -0.3179708240658511, 0.03044315229600554, -0.0986894799635142, 0.027523551158181128, 1.149163609511094, -0.1963041662001338, -0.0825151320042799, 0.4441506225491739, 0.004776892438040321, 0.2524873883748547, -0.008176333828615627, 1.1698280060900443, 0.4797308597639379, 0.08111461394739516, -0.5884821331672335, -0.04601560011375509, -0.00024169898931785847, -0.007914344886598574, 1.0358325959138455]",8.659158,"[-0.9896852690110799, -0.3007759444832543, -0.37028081219543796, -0.01132001322196536, -0.17342043089888248, -0.026235426550952207, 0.9349334346500447, -0.06724195805342689, -0.18105938012816414, 0.546966227663402, -0.019005611372058848, 0.1806498203438207, -0.1276800628237484, 0.8471100054138884, 0.4401960609664925, 0.10178515432076261, -0.648364765366571, -0.0946580808062048, 0.006208525774016852, -0.00800890687730071, 0.9977818959251449]",8.659158,17.383167,14.31194
17,442,0.09551642933594087,8.428182601928711,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]","[-0.9640813455666095, -0.37532461645431703, -0.3673988662541218, 0.053923709422489974, -0.11611538383031102, 0.05525859277879737, 1.1210671488508808, -0.1919816432933172, -0.1459521657624729, 0.45271517901199726, -0.02622555366980929, 0.2047806030056204, 0.043726329587312165, 1.1757985751568882, 0.49693409628351337, 0.13119063020062, -0.6068683049953176, -0.07521554549846499, 0.00888070833726419, -0.043973207321308175, 1.031533701731294]",9.0632,"[-0.9925006046478785, -0.49814951923570217, -0.33294025918561304, 0.02441652155741128, -0.16387649855909636, 0.10284897867332095, 0.9993825119002346, -0.256717265343802, -0.2517010969228468, 0.4414539727800159, -0.04770388649559934, 0.1342557632613035, 0.12828034105143, 0.9089471383245394, 0.4392841576509636, 0.12401478397669716, -0.5946082978464923, -0.10667280051344717, -0.0015148676797898863, -0.04309564375465707, 0.873343009554104]",9.0632,16.120872,13.223323
18,468,0.0901417246612721,8.428182601928711,"[-0.8530347530137614, -0.4186133177627631, -0.2140410048414883, -0.06574924835661815, -0.031439113803868324, 0.09570636605061572, 0.9238157194880182, 0.06759234694180112, -0.04505225576224863, 0.5043628772459803, 0.03244955615470732, 0.2040328938145614, -0.038868728085776946, 0.9909290878229614, 0.5295285272148905, -0.02414752153513336, -0.6964781379137308, -0.03612793697464735, -0.005996992375297636, -0.027823369364704132, 0.8379569601600799]","[-0.939585210288903, -0.3911008029213195, -0.3588840003756605, 0.003127393973565986, -0.10587650439685181, 0.06651822705704935, 1.093085810115145, -0.12985658543839412, -0.11189782907411915, 0.4903105361219155, -0.08730729670042528, 0.17997548561577004, 0.012511767493603726, 1.1141644597955094, 0.5284325352396037, 0.10720887997085625, -0.6298356292492254, -0.08196355652947016, 0.003187374840438569, -0.01636021432321404, 1.0505936010596284]",8.609551,"[-0.9980561096324508, -0.49886198539828, -0.3468982090408466, 0.029464269697652035, -0.012403897236444902, 0.13446749599099247, 0.9535260176927383, -0.11109830115192551, -0.12594260871367505, 0.5078531386979332, -0.029811115955371822, 0.13707106551314685, 0.1840600335641549, 0.970135223143319, 0.5502309809103548, 0.04778938304451015, -0.7439670333107612, 0.11196303533046922, -0.06755281931309917, -0.06874812670099595, 0.9875861719221241]",8.609551,27.759077,43.984432
19,494,0.08495309691195992,8.39449691772461,"[-0.9928828127544309, -0.2209790230110718, -0.3356289383568218, 0.020386601789348303, -0.1557149114322331, 0.006987007386157915, 0.9583327056461912, -0.07199532662082554, 0.12925945522485305, 0.5140617182065801, -0.12852403276524693, 0.18773721899562423, -0.020145257351550865, 0.8891607572944887, 0.5397235053432897, 0.1943593684013017, -0.7449930744959998, -0.05420427401632681, -0.0824800030881587, 0.019338289003046173, 0.9993478846761825]","[-0.9094529622785648, -0.3877983783197857, -0.3558476936761336, 0.026738323264122416, -0.08043847165324985, 0.03915263791939567, 1.091645787380739, -0.10044109770182302, -0.07483241872673546, 0.5073920860875654, -0.0786519092346169, 0.18773380018595937, 0.03451868417169688, 1.1081200190354885, 0.5357924316696755, 0.11955328553919907, -0.6460487586611551, -0.07725675440797966, -0.009820258888937675, 0.0017688889637058692, 1.0224178446425327]",8.394497,"[-0.9928828127544309, -0.2209790230110718, -0.3356289383568218, 0.020386601789348303, -0.1557149114322331, 0.006987007386157915, 0.9583327056461912, -0.07199532662082554, 0.12925945522485305, 0.5140617182065801, -0.12852403276524693, 0.18773721899562423, -0.020145257351550865, 0.8891607572944887, 0.5397235053432897, 0.1943593684013017, -0.7449930744959998, -0.05420427401632681, -0.0824800030881587, 0.019338289003046173, 0.9993478846761825]",8.394497,17.22278,14.334405
20,520,0.08082379333891433,8.053471565246582,"[-0.8950257054698222, -0.4092186789489903, -0.3795726832265661, 0.042339195417859424, 0.05964783697706602, 0.0590951104885178, 0.9961119254985434, -0.15001027584345702, -0.15115769568154375, 0.5533135485506036, 0.016549218295784512, 0.3318752238428665, 0.06257555811924126, 0.9846543319260429, 0.5363206436608572, 0.05518434563197998, -0.7821595756866448, -0.05387981104199138, -0.040627439639553925, 0.02059683824638403, 0.9999624309306706]","[-0.8967624627519216, -0.37526003259937735, -0.3925124985546201, 0.03864699213425472, -0.05764193206768069, 0.005388008866564661, 1.061347073142014, -0.16231910890170229, -0.09872382996391668, 0.5390760636459015, -0.08992045374907609, 0.22339082065116714, 0.056674023267361984, 1.1193286566092895, 0.5285718960051539, 0.09488209244058778, -0.6472093644536543, -0.061217348660114274, -0.011599350465925123, 0.018172116258802884, 1.003007681201464]",8.053472,"[-0.8950257054698222, -0.4092186789489903, -0.3795726832265661, 0.042339195417859424, 0.05964783697706602, 0.0590951104885178, 0.9961119254985434, -0.15001027584345702, -0.15115769568154375, 0.5533135485506036, 0.016549218295784512, 0.3318752238428665, 0.06257555811924126, 0.9846543319260429, 0.5363206436608572, 0.05518434563197998, -0.7821595756866448, -0.05387981104199138, -0.040627439639553925, 0.02059683824638403, 0.9999624309306706]",8.053472,14.085428,11.479292
